zoneid,year,ward_code,total_pop,chinese_ethnic_count,chinese_ethnic_pct,asia_born_count,asia_born_pct,asia_born_pct_is_proxy,pop_16_74,econ_active_rate,unemployment_rate,self_employment_rate,total_hh_spaces,owner_occ_rate,council_rent_rate,private_rent_rate,overcrowd_rate,overcrowd_severe_rate,no_bath_wc_rate,no_car_rate
00BNFX0022,2001,00BNFX,338,0,0.0,17,5.03,True,244,74.18,2.46,7.38,128,93.75,0.0,3.91,2.31,2.31,5.47,23.2
00BNFX0023,2001,00BNFX,319,3,0.94,36,11.29,True,244,64.34,1.23,8.2,113,92.04,0.0,7.96,2.56,0.0,2.52,15.65
00BNFX0024,2001,00BNFX,240,10,4.17,26,10.83,True,193,70.98,5.7,6.74,113,18.58,6.19,59.29,0.0,0.0,12.2,44.35
00BNFX0025,2001,00BNFX,333,0,0.0,33,9.91,True,255,61.57,1.18,6.27,122,90.16,2.46,4.92,2.31,0.0,7.89,17.8
00BNFX0026,2001,00BNFX,335,0,0.0,38,11.34,True,261,65.13,5.36,8.43,117,90.6,0.0,9.4,2.5,0.0,9.09,24.19
00BNFX0027,2001,00BNFX,328,3,0.91,23,7.01,True,223,69.51,6.73,6.73,123,87.8,0.0,12.2,2.34,0.0,15.91,29.37
00BNFX0028,2001,00BNFX,349,8,2.29,26,7.45,True,250,58.4,2.8,6.4,128,79.69,4.69,15.62,2.38,0.0,20.0,37.12
00BNFX0029,2001,00BNFX,340,0,0.0,29,8.53,True,262,66.41,4.58,4.96,113,90.27,0.0,9.73,5.69,0.0,5.98,16.53
00BNFX0030,2001,00BNFX,247,4,1.62,20,8.1,True,183,74.32,6.01,10.93,138,62.32,7.25,23.91,6.25,4.17,18.24,43.48
00BNFX0031,2001,00BNFX,290,3,1.03,23,7.93,True,206,62.14,5.34,5.83,132,45.45,6.82,37.12,2.33,0.0,26.77,45.39
00BNFX0032,2001,00BNFX,269,0,0.0,44,16.36,True,224,62.95,6.7,2.68,128,51.56,4.69,38.28,2.29,0.0,28.91,48.0
00BNFX0033,2001,00BNFX,304,6,1.97,37,12.17,True,228,61.84,10.53,6.58,125,65.6,0.0,31.2,4.32,0.0,31.34,46.4
00BNFX0034,2001,00BNFX,295,0,0.0,14,4.75,True,202,58.91,3.96,4.46,128,59.38,2.34,26.56,0.0,0.0,20.83,44.17
00BNFX0035,2001,00BNFX,323,6,1.86,30,9.29,True,200,63.5,8.5,5.0,127,45.67,5.51,46.46,5.47,2.34,28.26,50.38
00BNFX0036,2001,00BNFX,295,0,0.0,35,11.86,True,228,60.96,6.58,10.09,123,34.15,7.32,44.72,0.0,0.0,14.04,48.78
00BNFX0037,2001,00BNFX,278,4,1.44,33,11.87,True,196,48.98,5.61,3.06,119,28.57,15.97,44.54,4.88,2.44,14.68,61.54
00BNFX0038,2001,00BNFX,320,0,0.0,8,2.5,True,213,71.36,1.41,5.16,127,63.78,2.36,20.47,2.5,2.5,19.09,46.96
00BNFX0039,2001,00BNFX,276,3,1.09,37,13.41,True,216,62.04,6.48,3.7,123,32.52,10.57,52.03,2.73,2.73,21.85,49.58
00BNFX0040,2001,00BNFX,278,0,0.0,7,2.52,True,181,57.46,6.63,2.21,125,34.4,6.4,37.6,0.0,0.0,21.19,57.85
00BNFX0041,2001,00BNFX,250,6,2.4,51,20.4,True,195,47.69,3.08,5.64,117,35.9,5.13,47.01,0.0,0.0,22.31,54.1
00BNFX0042,2001,00BNFX,256,3,1.17,19,7.42,True,174,58.62,9.2,3.45,130,41.54,21.54,27.69,0.0,0.0,22.22,64.18
00BNFY0001,2001,00BNFY,343,3,0.87,3,0.87,True,236,61.02,2.97,5.08,130,63.08,2.31,30.0,0.0,0.0,22.06,44.09
