WARD_CODE,JOIN_KEY,TOTAL_RES_1981
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAD,03BNAD    ,12802.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAE,03BNAE    ,8681.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAF,03BNAF    ,13810.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAG,03BNAG    ,16408.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAH,03BNAH    ,15546.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAJ,03BNAJ    ,14544.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAK,03BNAK    ,11753.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAL,03BNAL    ,11089.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAM,03BNAM    ,13689.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAN,03BNAN    ,5512.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAP,03BNAP    ,17793.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAQ,03BNAQ    ,14658.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAR,03BNAR    ,14558.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
