zoneid,ward_code,year,TOTAL_RES_1991,TOTAL_MALE_1991,TOTAL_FEMALE_1991,CHINESE_ETHNIC_1991,CHINESE_ETHNIC_MALE_1991,CHINESE_ETHNIC_FEMALE_1991,PCT_CHINESE_ETHNIC_1991,CHINESE_AGE_0_4_1991,CHINESE_AGE_5_15_1991,CHINESE_AGE_16_29_1991,CHINESE_AGE_30_PENSION_1991,CHINESE_PENSIONABLE_1991,CHINESE_LIMITING_ILLNESS_1991,CHINA_BORN_1991,PCT_CHINA_BORN_1991,CHINESE_16PLUS_1991,CHINESE_ECON_ACTIVE_1991,CHINESE_UNEMPLOYED_1991,CHINESE_HOUSEHOLDS_1991,CHINESE_OVERCROWD_GT1P5_1991,CHINESE_OWNER_OCC_1991,PCT_CHINESE_OVERCROWD_1991,PCT_CHINESE_OWNER_OCC_1991
03BNGA05,03BNGA,1991,387,191,196,0,0,0,0.0,0,0,0,0,0,0,1,0.25839793281653745,5,3,4,2,0,0,0.0,0.0
03BNGA06,03BNGA,1991,511,228,283,30,17,13,5.870841487279844,0,0,26,5,0,0,0,0.0,40,33,8,10,0,10,0.0,100.0
03BNGA07,03BNGA,1991,551,269,282,17,10,7,3.0852994555353903,1,0,8,6,0,0,8,1.4519056261343013,23,7,2,19,0,2,0.0,10.526315789473685
03BNGA08,03BNGA,1991,465,198,267,0,0,0,0.0,0,0,0,0,0,0,0,0.0,5,5,4,2,0,0,0.0,0.0
03BNGA09,03BNGA,1991,381,201,180,3,2,1,0.7874015748031497,0,0,2,2,0,0,3,0.7874015748031497,19,13,8,8,0,0,0.0,0.0
03BNGA10,03BNGA,1991,392,189,203,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4,2,0,1,0,0,0.0,0.0
03BNGA11,03BNGA,1991,414,181,233,0,0,0,0.0,0,0,0,0,0,0,0,0.0,10,6,5,4,0,0,0.0,0.0
03BNGA12,03BNGA,1991,385,178,207,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4,3,1,1,0,1,0.0,100.0
03BNGA13,03BNGA,1991,435,205,230,14,2,12,3.218390804597701,6,0,4,4,0,0,0,0.0,10,5,0,3,0,0,0.0,0.0
03BNGA14,03BNGA,1991,468,216,252,1,1,0,0.21367521367521367,0,0,1,0,0,0,0,0.0,10,6,1,4,0,0,0.0,0.0
03BNGA15,03BNGA,1991,360,160,200,3,2,1,0.8333333333333334,0,0,0,1,2,0,1,0.2777777777777778,15,9,4,5,0,3,0.0,60.0
03BNGA16,03BNGA,1991,595,305,290,4,4,0,0.6722689075630253,0,0,5,0,0,0,0,0.0,16,5,0,4,0,1,0.0,25.0
03BNGA17,03BNGA,1991,514,236,278,13,7,6,2.529182879377432,1,2,5,5,0,0,4,0.7782101167315175,23,8,4,10,0,0,0.0,0.0
03BNGA18,03BNGA,1991,496,218,278,4,1,3,0.8064516129032258,0,0,3,0,1,0,1,0.20161290322580644,21,7,3,12,0,2,0.0,16.666666666666668
03BNGA19,03BNGA,1991,239,116,123,0,0,0,0.0,0,0,0,0,0,0,0,0.0,10,5,2,2,0,1,0.0,50.0
03BNGA20,03BNGA,1991,320,139,181,3,3,0,0.9375,0,0,0,0,2,0,0,0.0,10,4,0,7,0,3,0.0,42.857142857142854
03BNGA21,03BNGA,1991,520,238,282,6,2,4,1.1538461538461537,0,0,4,3,0,2,2,0.38461538461538464,20,5,4,10,0,1,0.0,10.0
03BNGA22,03BNGA,1991,205,97,108,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,
03BNGA23,03BNGA,1991,198,78,120,3,3,0,1.5151515151515151,0,0,2,0,0,0,2,1.0101010101010102,5,2,1,3,0,0,0.0,0.0
03BNGA24,03BNGA,1991,478,236,242,5,2,3,1.0460251046025104,0,2,0,1,0,0,0,0.0,9,5,0,5,0,0,0.0,0.0
03BNGA25,03BNGA,1991,433,194,239,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4,2,0,3,0,1,0.0,33.333333333333336
03BNGA26,03BNGA,1991,397,216,181,2,1,1,0.5037783375314862,0,0,2,0,0,0,2,0.5037783375314862,9,7,6,7,0,0,0.0,0.0
03BNGA27,03BNGA,1991,444,207,237,10,6,4,2.2522522522522523,0,1,5,4,0,0,4,0.9009009009009009,27,14,4,7,0,2,0.0,28.571428571428573
03BNGA28,03BNGA,1991,360,188,172,5,4,1,1.3888888888888888,0,0,5,0,0,0,0,0.0,9,2,0,2,0,1,0.0,50.0
03BNGA29,03BNGA,1991,443,198,245,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4,1,0,4,0,0,0.0,0.0
03BNGA30,03BNGA,1991,249,112,137,4,3,1,1.606425702811245,0,0,3,1,0,0,0,0.0,6,4,0,2,0,1,0.0,50.0
03BNGA31,03BNGA,1991,162,81,81,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,
03BNGA32,03BNGA,1991,407,179,228,5,3,2,1.2285012285012284,0,1,1,3,0,4,1,0.2457002457002457,9,4,0,4,0,1,0.0,25.0
03BNGA33,03BNGA,1991,420,204,216,2,1,1,0.47619047619047616,0,0,0,0,3,0,0,0.0,11,3,2,4,0,0,0.0,0.0
03BNGB01,03BNGB,1991,536,272,264,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,
03BNGB02,03BNGB,1991,623,283,340,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,0,0,1,0,0,0.0,0.0
03BNGB03,03BNGB,1991,631,283,348,10,6,4,1.5847860538827259,0,0,6,3,0,0,2,0.31695721077654515,9,9,0,2,0,2,0.0,100.0
03BNGB04,03BNGB,1991,640,300,340,12,5,7,1.875,3,2,2,3,2,0,0,0.0,7,5,0,2,0,1,0.0,50.0
03BNGB05,03BNGB,1991,584,275,309,6,2,4,1.0273972602739727,2,0,2,2,1,0,0,0.0,6,1,0,2,0,1,0.0,50.0
03BNGB06,03BNGB,1991,575,289,286,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,
03BNGB07,03BNGB,1991,591,276,315,0,0,0,0.0,0,0,0,0,0,0,0,0.0,2,2,0,1,0,1,0.0,100.0
03BNGB08,03BNGB,1991,623,279,344,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,
03BNGB09,03BNGB,1991,584,261,323,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,,
03BNGB10,03BNGB,1991,490,224,266,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,,
03BNGB11,03BNGB,1991,617,294,323,0,0,0,0.0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,,
03BNGB12,03BNGB,1991,487,223,264,4,3,1,0.8213552361396304,0,3,0,2,0,0,0,0.0,3,3,0,1,0,2,0.0,200.0
