"ukcas_table_name","table_code","table_label","table_title","table_full_title","table_universe","table_counts"
UV073S,UV073,Univariate Tables Table 73,"All People in Communal Establishments (England, Wales and Scotland)","UV073: All People in Communal Establishments (England, Wales and Scotland)",All People in Communal Establishments,Persons
UV073EW,UV073,Univariate Tables Table 73,"All People In Communal Establishments (England, Wales And Scotland)","UV073: All People In Communal Establishments (England, Wales And Scotland)",All People in Communal Establishments,Persons
UV074NI,UV074,Univariate Tables Table 74,All Persons in Communal Establishments,UV074: All Persons in Communal Establishments,All People in Communal Establishments,Persons
UV075EW,UV075,Univariate Tables Table 75,Age (Workplace Population),UV075: Age (Workplace Population),,
UV076EW,UV076,Univariate Tables Table 76,NS-Sec (Workplace Population),UV076: NS-Sec (Workplace Population),,
UV077NI,UV077,Univariate Tables Table 77,Industry (Workplace Population),UV077: Industry (Workplace Population),All People Aged 16-74 in Employment in the Area,Persons
UV077EW,UV077,Univariate Tables Table 77,Industry (Workplace Population),UV077: Industry (Workplace Population),,
UV078NI,UV078,Univariate Tables Table 78,Approximated Social Grade (Workplace Population),UV078: Approximated Social Grade (Workplace Population),All People Aged 16-74 in Employment in the Area,Persons
UV078EW,UV078,Univariate Tables Table 78,Approximated Social Grade (Workplace Population),UV078: Approximated Social Grade (Workplace Population),,
UV079NI,UV079,Univariate Tables Table 79,Occupation (Workplace Population),UV079: Occupation (Workplace Population),All People Aged 16-74 in Employment in the Area,Persons
UV079EW,UV079,Univariate Tables Table 79,Occupation (Workplace Population),UV079: Occupation (Workplace Population),,
UV080EW,UV080,Univariate Tables Table 80,Distance Travelled To Work (Workplace Population),UV080: Distance Travelled To Work (Workplace Population),,
UV081EW,UV081,Univariate Tables Table 81,Armed Forces,UV081: Armed Forces,,
UV082NI,UV082,Univariate Tables Table 82,Living Arrangements,UV082: Living Arrangements,All People Aged 16 and over in Households,Persons
UV082EW,UV082,Univariate Tables Table 82,"Living Arrangements (England, Wales and Northern Ireland)","UV082: Living Arrangements (England, Wales and Northern Ireland)",All People Aged 16 and Over in Households,Persons
UV083NI,UV083,Univariate Tables Table 83,Persons Per Room (People),UV083: Persons Per Room (People),All People in Households,Persons
UV083EW,UV083,Univariate Tables Table 83,Persons Per Room,UV083: Persons Per Room,All Household Residents,Persons
UV084W,UV084,Univariate Tables Table 84,Welsh Language Skills,UV084: Welsh Language Skills,All People Aged 3 and Over,Persons
UV085EW,UV085,Univariate Tables Table 85,Residents In Households By NS-Sec Of Household Reference Person Under Pensionable Age,UV085: Residents In Households By NS-Sec Of Household Reference Person Under Pensionable Age,Resident Population in Households,Persons
UV086NI,UV086,Univariate Tables Table 86,Method of Travel to Work (Daytime Population),UV086: Method of Travel to Work (Daytime Population),All Daytime Population Aged 16 to 74,Persons
UV087NI,UV087,Univariate Tables Table 87,Method of Travel to Work - Resident Population,UV087: Method of Travel to Work - Resident Population,All People Aged 16 to 74 Resident in the Area,Persons
UV088NI,UV088,Univariate Tables Table 88,Tenure (People),UV088: Tenure (People),All People in Households,Persons
UV089NI,UV089,Univariate Tables Table 89,Tenure (Households),UV089: Tenure (Households),All Households,Households
UV090NI,UV090,Univariate Tables Table 90,National Statistics Socio-Economic Classification (NS-SeC) (Working Age),UV090: National Statistics Socio-Economic Classification (NS-SeC) (Working Age),All People Aged 16 to Pensionable Age,Persons
UV093NI,UV093,Univariate Tables Table 93,Cohabiting Same-Sex Couples,UV093: Cohabiting Same-Sex Couples,All People Aged 16 and over in Households,Persons
UV093EW,UV093,Univariate Tables Table 93,Same-Sex Couples,UV093: Same-Sex Couples,,
UV094NI,UV094,Univariate Tables Table 94,NS-SeC of Household Reference Person (HRP) (All People),UV094: NS-SeC of Household Reference Person (HRP) (All People),All People in Households,Persons
UV095NI,UV095,Univariate Tables Table 95,Age (Single Year),UV095: Age (Single Year),All People,Persons
UV096NI,UV096,Univariate Tables Table 96,Age (5 Year),UV096: Age (5 Year),All People,Persons
UV097NI,UV097,Univariate Tables Table 97,Country of Birth (Intermediate Detail),UV097: Country of Birth (Intermediate Detail),All People,Persons
UV098NI,UV098,Univariate Tables Table 98,Country of Birth (Basic Detail),UV098: Country of Birth (Basic Detail),All People,Persons
UV099NI,UV099,Univariate Tables Table 99,Knowledge of Irish (Full Detail),UV099: Knowledge of Irish (Full Detail),All People Aged 3 and over,Persons
UV100NI,UV100,Univariate Tables Table 100,Time Since Last Worked (Working Age),UV100: Time Since Last Worked (Working Age),All People Aged 16 to Pensionable Age,Persons
UV101NI,UV101,Univariate Tables Table 101,Economic Activity (Working Age),UV101: Economic Activity (Working Age),All People Aged 16 to Pensionable Age,Persons
UV102NI,UV102,Univariate Tables Table 102,Economic Activity - Full-Time Students (Working Age),UV102: Economic Activity - Full-Time Students (Working Age),All Full-Time Students and Schoolchildren Aged 16 to Pensionable Age,"Persons; Schoolchildren, Students"
UV103NI,UV103,Univariate Tables Table 103,Tenure of 'Pensioner' Households,UV103: Tenure of 'Pensioner' Households,All Households Where the Household Reference Person is of Pensionable Age,Households
UV104NI,UV104,Univariate Tables Table 104,Approximated Social Grade (Households),UV104: Approximated Social Grade (Households),All Household Reference Persons,Households
UV105NI,UV105,Univariate Tables Table 105,Community Background (Religion or Religion Brought Up In) Structure of Households (Full Detail),UV105: Community Background (Religion or Religion Brought Up In) Structure of Households (Full Detail),All Households,Households
UV107NI,UV107,Univariate Tables Table 107,Occupancy Rating (People),UV107: Occupancy Rating (People),All People in Households,Persons
UV108NI,UV108,Univariate Tables Table 108,NS-SeC of Household Reference Person (HRP) Aged 16 to Pensionable Age (People),UV108: NS-SeC of Household Reference Person (HRP) Aged 16 to Pensionable Age (People),All People in Households Where the HRP is Aged 16 to Pensionable Age,Persons
UV109NI,UV109,Univariate Tables Table 109,NS-SeC of Household Reference Person (HRP),UV109: NS-SeC of Household Reference Person (HRP),All Household Reference Persons,Persons
UV110NI,UV110,Univariate Tables Table 110,Self-Contained,UV110: Self-Contained,All Households,Households
UV111NI,UV111,Univariate Tables Table 111,Number of Dependent Children (Households),UV111: Number of Dependent Children (Households),All Households,Households
UV112NI,UV112,Univariate Tables Table 112,Number of Dependent Children (Families),UV112: Number of Dependent Children (Families),All Families in Households,Families
UV113NI,UV113,Univariate Tables Table 113,Ethnic Group of Household Reference Person (HRP) - 12-Way Classification,UV113: Ethnic Group of Household Reference Person (HRP) - 12-Way Classification,All Household Reference Persons,Persons
UV114NI,UV114,Univariate Tables Table 114,Ethnic Group of Household Reference Person (HRP) - 5-Way Classification,UV114: Ethnic Group of Household Reference Person (HRP) - 5-Way Classification,All Household Reference Persons,Persons
UV115NI,UV115,Univariate Tables Table 115,Community Background (Religion or Religion Brought Up In) of Household Reference Person (HRP),UV115: Community Background (Religion or Religion Brought Up In) of Household Reference Person (HRP),All Household Reference Persons,Persons
