"geography_code","description","geography_groupings"
"28KRFU05",,Enumeration district
"28KRFU06",,Enumeration district
"28KRFU07",,Enumeration district
"28KRFU08",,Enumeration district
"28KRFU09",,Enumeration district
"28KRFU10",,Enumeration district
"28KRFU11",,Enumeration district
"28KRFU12",,Enumeration district
"28KRFU13",,Enumeration district
"28KRFW01",,Enumeration district
"28KRFW02",,Enumeration district
"28KRFW03",,Enumeration district
"28KRFW04",,Enumeration district
"28KRFW05",,Enumeration district
"28KRFW06",,Enumeration district
"28KRFW07",,Enumeration district
"28KRFW08",,Enumeration district
"28KRFW09",,Enumeration district
"28KRFW10",,Enumeration district
"28KRFW11",,Enumeration district
"28KRFW12",,Enumeration district
"28KRFX01",,Enumeration district
"28KRFX02",,Enumeration district
"28KRFX03",,Enumeration district
"28KRFX04",,Enumeration district
"28KRFX05",,Enumeration district
"28KRFX06",,Enumeration district
"28KRFY01",,Enumeration district
"28KRFY02",,Enumeration district
"28KRFY03",,Enumeration district
"28KRFY04",,Enumeration district
"28KRFY05",,Enumeration district
"28KRFY06",,Enumeration district
"28KRFZ01",,Enumeration district
"28KRFZ02",,Enumeration district
"28KRFZ03",,Enumeration district
"28KRFZ04",,Enumeration district
"28KRFZ05",,Enumeration district
"28KRFZ06",,Enumeration district
"28KRFZ07",,Enumeration district
"28KRFZ08",,Enumeration district
"28KRFZ09",,Enumeration district
"28KRFZ10",,Enumeration district
"28KRFZ11",,Enumeration district
"28KRFZ12",,Enumeration district
"28KRFZ13",,Enumeration district
"28KRGA01",,Enumeration district
"28KRGA02",,Enumeration district
"28KRGA03",,Enumeration district
"28KRGA04",,Enumeration district
"28KRGA05",,Enumeration district
"28KRGA06",,Enumeration district
"28KRGA07",,Enumeration district
"28KRGA08",,Enumeration district
"28KRSS01",,Enumeration district
"28KSFA01",,Enumeration district
"28KSFA02",,Enumeration district
"28KSFA03",,Enumeration district
"28KSFA04",,Enumeration district
"28KSFA05",,Enumeration district
"28KSFA06",,Enumeration district
"28KSFA07",,Enumeration district
"28KSFA08",,Enumeration district
"28KSFB01",,Enumeration district
"28KSFB02",,Enumeration district
"28KSFB03",,Enumeration district
"28KSFB04",,Enumeration district
"28KSFB05",,Enumeration district
"28KSFB06",,Enumeration district
"28KSFB07",,Enumeration district
"28KSFB08",,Enumeration district
"28KSFC01",,Enumeration district
"28KSFC02",,Enumeration district
"28KSFC03",,Enumeration district
"28KSFC04",,Enumeration district
"28KSFC05",,Enumeration district
"28KSFC06",,Enumeration district
"28KSFC07",,Enumeration district
"28KSFC08",,Enumeration district
"28KSFD01",,Enumeration district
"28KSFD02",,Enumeration district
"28KSFD03",,Enumeration district
"28KSFD04",,Enumeration district
"28KSFD05",,Enumeration district
"28KSFD06",,Enumeration district
"28KSFE01",,Enumeration district
"28KSFE02",,Enumeration district
"28KSFE03",,Enumeration district
"28KSFE04",,Enumeration district
"28KSFE05",,Enumeration district
"28KSFE06",,Enumeration district
"28KSFF01",,Enumeration district
"28KSFF02",,Enumeration district
"28KSFF03",,Enumeration district
"28KSFF04",,Enumeration district
"28KSFF05",,Enumeration district
"28KSFF06",,Enumeration district
"28KSFF07",,Enumeration district
"28KSFG01",,Enumeration district
"28KSFG02",,Enumeration district
"28KSFG03",,Enumeration district
"28KSFG04",,Enumeration district
"28KSFG05",,Enumeration district
"28KSFG06",,Enumeration district
"28KSFG07",,Enumeration district
"28KSFG08",,Enumeration district
"28KSFG09",,Enumeration district
"28KSFG10",,Enumeration district
"28KSFH01",,Enumeration district
"28KSFH02",,Enumeration district
"28KSFH03",,Enumeration district
"28KSFH04",,Enumeration district
"28KSFH05",,Enumeration district
"28KSFH06",,Enumeration district
"28KSFH07",,Enumeration district
"28KSFH08",,Enumeration district
"28KSFH09",,Enumeration district
"28KSFJ01",,Enumeration district
"28KSFJ02",,Enumeration district
"28KSFJ03",,Enumeration district
"28KSFJ04",,Enumeration district
"28KSFJ05",,Enumeration district
"28KSFK01",,Enumeration district
"28KSFK02",,Enumeration district
"28KSFK03",,Enumeration district
"28KSFL01",,Enumeration district
"28KSFL02",,Enumeration district
"28KSFL03",,Enumeration district
"28KSFL04",,Enumeration district
"28KSFL05",,Enumeration district
"28KSFL06",,Enumeration district
"28KSFL07",,Enumeration district
"28KSFL08",,Enumeration district
"28KSFM01",,Enumeration district
"28KSFM02",,Enumeration district
"28KSFM03",,Enumeration district
"28KSFM04",,Enumeration district
"28KSFM05",,Enumeration district
"28KSFN01",,Enumeration district
"28KSFN02",,Enumeration district
"28KSFN03",,Enumeration district
"28KSFN04",,Enumeration district
"28KSFN05",,Enumeration district
"28KSFN06",,Enumeration district
"28KSFN07",,Enumeration district
"28KSFN08",,Enumeration district
"28KSFP01",,Enumeration district
"28KSFP02",,Enumeration district
"28KSFP03",,Enumeration district
"28KSFP04",,Enumeration district
"28KSFP05",,Enumeration district
"28KSFP06",,Enumeration district
"28KSFQ01",,Enumeration district
"28KSFQ02",,Enumeration district
"28KSFQ03",,Enumeration district
"28KSFQ04",,Enumeration district
"28KSFQ05",,Enumeration district
"28KSFQ06",,Enumeration district
"28KSFR01",,Enumeration district
"28KSFR02",,Enumeration district
"28KSFR03",,Enumeration district
"28KSFR04",,Enumeration district
"28KSFR05",,Enumeration district
"28KSFS01",,Enumeration district
"28KSFS02",,Enumeration district
"28KSFS03",,Enumeration district
"28KSFS04",,Enumeration district
"28KSFS05",,Enumeration district
"28KSFS06",,Enumeration district
"28KSFT01",,Enumeration district
"28KSFT02",,Enumeration district
"28KSFT03",,Enumeration district
"28KSFT04",,Enumeration district
"28KSFT05",,Enumeration district
"28KSFT06",,Enumeration district
"28KSFT07",,Enumeration district
"28KSFU01",,Enumeration district
"28KSFU02",,Enumeration district
"28KSFU03",,Enumeration district
"28KSFU04",,Enumeration district
"28KSFU05",,Enumeration district
"28KSFW01",,Enumeration district
"28KSFW02",,Enumeration district
"28KSFW03",,Enumeration district
"28KSFW04",,Enumeration district
"28KSFW05",,Enumeration district
"28KSFX01",,Enumeration district
"28KSFX02",,Enumeration district
"28KSFX03",,Enumeration district
"28KSFX04",,Enumeration district
"28KSFX05",,Enumeration district
"28KSFX06",,Enumeration district
"28KSFX07",,Enumeration district
"28KSFX08",,Enumeration district
"28KSFX09",,Enumeration district
"28KSFX10",,Enumeration district
"28KSFX11",,Enumeration district
"28KSFY01",,Enumeration district
"28KSFY02",,Enumeration district
"28KSFY03",,Enumeration district
"28KSFY04",,Enumeration district
"28KSFZ01",,Enumeration district
"28KSFZ02",,Enumeration district
"28KSFZ03",,Enumeration district
"28KSSS01",,Enumeration district
"28KTFA01",,Enumeration district
"28KTFA02",,Enumeration district
"28KTFA03",,Enumeration district
"28KTFA04",,Enumeration district
"28KTFA05",,Enumeration district
"28KTFA06",,Enumeration district
"28KTFA07",,Enumeration district
"28KTFA08",,Enumeration district
"28KTFA09",,Enumeration district
"28KTFB01",,Enumeration district
"28KTFB02",,Enumeration district
"28KTFB03",,Enumeration district
"28KTFB04",,Enumeration district
"28KTFB05",,Enumeration district
"28KTFB06",,Enumeration district
"28KTFB07",,Enumeration district
"28KTFB08",,Enumeration district
"28KTFC01",,Enumeration district
"28KTFC02",,Enumeration district
"28KTFC03",,Enumeration district
"28KTFC04",,Enumeration district
"28KTFC05",,Enumeration district
"28KTFC06",,Enumeration district
"28KTFC07",,Enumeration district
"28KTFC08",,Enumeration district
"28KTFD01",,Enumeration district
"28KTFD02",,Enumeration district
"28KTFD03",,Enumeration district
"28KTFD04",,Enumeration district
"28KTFD05",,Enumeration district
"28KTFD06",,Enumeration district
"28KTFD07",,Enumeration district
"28KTFD08",,Enumeration district
"28KTFE01",,Enumeration district
"28KTFE02",,Enumeration district
"28KTFE03",,Enumeration district
"28KTFE04",,Enumeration district
"28KTFE05",,Enumeration district
"28KTFE06",,Enumeration district
"28KTFE07",,Enumeration district
"28KTFE08",,Enumeration district
"28KTFF01",,Enumeration district
"28KTFF02",,Enumeration district
"28KTFF03",,Enumeration district
"28KTFF04",,Enumeration district
"28KTFF05",,Enumeration district
"28KTFF06",,Enumeration district
"28KTFF07",,Enumeration district
"28KTFF08",,Enumeration district
"28KTFF09",,Enumeration district
"28KTFG01",,Enumeration district
"28KTFG02",,Enumeration district
"28KTFG03",,Enumeration district
"28KTFG04",,Enumeration district
"28KTFG05",,Enumeration district
"28KTFG06",,Enumeration district
"28KTFG07",,Enumeration district
"28KTFG08",,Enumeration district
"28KTFG09",,Enumeration district
"28KTFH01",,Enumeration district
"28KTFH02",,Enumeration district
"28KTFH03",,Enumeration district
"28KTFH04",,Enumeration district
"28KTFH05",,Enumeration district
"28KTFH06",,Enumeration district
"28KTFH07",,Enumeration district
"28KTFH08",,Enumeration district
"28KTFJ01",,Enumeration district
"28KTFJ02",,Enumeration district
"28KTFJ03",,Enumeration district
"28KTFJ04",,Enumeration district
"28KTFJ05",,Enumeration district
"28KTFJ06",,Enumeration district
"28KTFJ07",,Enumeration district
"28KTFJ08",,Enumeration district
"28KTFJ09",,Enumeration district
"28KTFK01",,Enumeration district
"28KTFK02",,Enumeration district
"28KTFK03",,Enumeration district
"28KTFK04",,Enumeration district
"28KTFK05",,Enumeration district
"28KTFK06",,Enumeration district
"28KTFK07",,Enumeration district
"28KTFK08",,Enumeration district
"28KTFK09",,Enumeration district
"28KTFL01",,Enumeration district
"28KTFL02",,Enumeration district
"28KTFL03",,Enumeration district
"28KTFL04",,Enumeration district
"28KTFL05",,Enumeration district
"28KTFL06",,Enumeration district
"28KTFL07",,Enumeration district
"28KTFL08",,Enumeration district
"28KTFM01",,Enumeration district
"28KTFM02",,Enumeration district
"28KTFM03",,Enumeration district
"28KTFM04",,Enumeration district
"28KTFM05",,Enumeration district
"28KTFM06",,Enumeration district
"28KTFM07",,Enumeration district
"28KTFN01",,Enumeration district
"28KTFN02",,Enumeration district
"28KTFN03",,Enumeration district
"28KTFN04",,Enumeration district
"28KTFN05",,Enumeration district
"28KTFN06",,Enumeration district
"28KTFN07",,Enumeration district
"28KTFN08",,Enumeration district
"28KTFP01",,Enumeration district
"28KTFP03",,Enumeration district
"28KTFP04",,Enumeration district
"28KTFQ01",,Enumeration district
"28KTFQ02",,Enumeration district
"28KTFQ03",,Enumeration district
"28KTFQ04",,Enumeration district
"28KTFQ05",,Enumeration district
"28KTFQ06",,Enumeration district
"28KTFQ07",,Enumeration district
"28KTFQ08",,Enumeration district
"28KTFR01",,Enumeration district
"28KTFR02",,Enumeration district
"28KTFR03",,Enumeration district
"28KTFR04",,Enumeration district
"28KTFR05",,Enumeration district
"28KTFR06",,Enumeration district
"28KTFR07",,Enumeration district
"28KTFR08",,Enumeration district
"28KTFS01",,Enumeration district
"28KTFS02",,Enumeration district
"28KTFS03",,Enumeration district
"28KTFS04",,Enumeration district
"28KTFS05",,Enumeration district
"28KTFS06",,Enumeration district
"28KTFS07",,Enumeration district
"28KTFS08",,Enumeration district
"28KTFS09",,Enumeration district
"28KTFS10",,Enumeration district
"28KTFT01",,Enumeration district
"28KTFT02",,Enumeration district
"28KTFT03",,Enumeration district
"28KTFT04",,Enumeration district
"28KTFT05",,Enumeration district
"28KTFT06",,Enumeration district
"28KTFT07",,Enumeration district
"28KTFT08",,Enumeration district
"28KTFU01",,Enumeration district
"28KTFU02",,Enumeration district
"28KTFU03",,Enumeration district
"28KTFU04",,Enumeration district
"28KTFU05",,Enumeration district
"28KTFU06",,Enumeration district
"28KTFU07",,Enumeration district
"28KTFW01",,Enumeration district
"28KTFW02",,Enumeration district
"28KTFW03",,Enumeration district
"28KTFW04",,Enumeration district
"28KTFW05",,Enumeration district
"28KTFW06",,Enumeration district
"28KTFW07",,Enumeration district
"28KTFW09",,Enumeration district
"28KTFX01",,Enumeration district
"28KTFX02",,Enumeration district
"28KTFX03",,Enumeration district
"28KTFX04",,Enumeration district
"28KTFX05",,Enumeration district
"28KTFX06",,Enumeration district
"28KTFX07",,Enumeration district
"28KTFX08",,Enumeration district
"28KTFX09",,Enumeration district
"28KTFX10",,Enumeration district
"28KTFY01",,Enumeration district
"28KTFY02",,Enumeration district
"28KTFY03",,Enumeration district
"28KTFY04",,Enumeration district
"28KTFY05",,Enumeration district
"28KTFY06",,Enumeration district
"28KTFY07",,Enumeration district
"28KTFY08",,Enumeration district
"28KTFY09",,Enumeration district
"28KTFY10",,Enumeration district
"28KTFY11",,Enumeration district
"28KTSS01",,Enumeration district
"28KUFA01",,Enumeration district
"28KUFA02",,Enumeration district
"28KUFA03",,Enumeration district
"28KUFA04",,Enumeration district
"28KUFB01",,Enumeration district
"28KUFB02",,Enumeration district
"28KUFB03",,Enumeration district
"28KUFB04",,Enumeration district
"28KUFB05",,Enumeration district
"28KUFB06",,Enumeration district
"28KUFB07",,Enumeration district
"28KUFC01",,Enumeration district
"28KUFC02",,Enumeration district
"28KUFC03",,Enumeration district
"28KUFC04",,Enumeration district
"28KUFC05",,Enumeration district
"28KUFC06",,Enumeration district
"28KUFC07",,Enumeration district
"28KUFD01",,Enumeration district
"28KUFD02",,Enumeration district
"28KUFD03",,Enumeration district
"28KUFE01",,Enumeration district
"28KUFE02",,Enumeration district
"28KUFE03",,Enumeration district
"28KUFE04",,Enumeration district
"28KUFF01",,Enumeration district
"28KUFF02",,Enumeration district
"28KUFF03",,Enumeration district
"28KUFF04",,Enumeration district
"28KUFF05",,Enumeration district
"28KUFG01",,Enumeration district
"28KUFG02",,Enumeration district
"28KUFG03",,Enumeration district
"28KUFG04",,Enumeration district
"28KUFG05",,Enumeration district
"28KUFG06",,Enumeration district
"28KUFG07",,Enumeration district
"28KUFG08",,Enumeration district
"28KUFG09",,Enumeration district
"28KUFG10",,Enumeration district
"28KUFG11",,Enumeration district
"28KUFH01",,Enumeration district
"28KUFH02",,Enumeration district
"28KUFH03",,Enumeration district
"28KUFH04",,Enumeration district
"28KUFH05",,Enumeration district
"28KUFH06",,Enumeration district
"28KUFH07",,Enumeration district
"28KUFH08",,Enumeration district
"28KUFH09",,Enumeration district
"28KUFH10",,Enumeration district
"28KUFH11",,Enumeration district
"28KUFJ01",,Enumeration district
"28KUFJ02",,Enumeration district
"28KUFJ03",,Enumeration district
"28KUFJ04",,Enumeration district
"28KUFJ05",,Enumeration district
"28KUFK01",,Enumeration district
"28KUFK02",,Enumeration district
"28KUFK03",,Enumeration district
"28KUFK04",,Enumeration district
"28KUFK05",,Enumeration district
"28KUFL01",,Enumeration district
"28KUFL02",,Enumeration district
"28KUFL03",,Enumeration district
"28KUFL04",,Enumeration district
"28KUFL05",,Enumeration district
"28KUFL06",,Enumeration district
"28KUFL07",,Enumeration district
"28KUFL09",,Enumeration district
"28KUFM01",,Enumeration district
"28KUFM02",,Enumeration district
"28KUFM03",,Enumeration district
"28KUFN01",,Enumeration district
"28KUFN02",,Enumeration district
"28KUFN03",,Enumeration district
"28KUFN04",,Enumeration district
"28KUFN05",,Enumeration district
"28KUFN06",,Enumeration district
"28KUFP01",,Enumeration district
"28KUFP02",,Enumeration district
"28KUFP03",,Enumeration district
"28KUFP04",,Enumeration district
"28KUFP05",,Enumeration district
"28KUFP06",,Enumeration district
"28KUFQ01",,Enumeration district
"28KUFQ02",,Enumeration district
"28KUFQ03",,Enumeration district
"28KUFQ04",,Enumeration district
"28KUFQ05",,Enumeration district
"28KUFQ06",,Enumeration district
"28KUFR01",,Enumeration district
"28KUFR02",,Enumeration district
"28KUFR03",,Enumeration district
"28KUFR04",,Enumeration district
"28KUFR05",,Enumeration district
"28KUFR06",,Enumeration district
"28KUFR07",,Enumeration district
"28KUFS01",,Enumeration district
"28KUFS02",,Enumeration district
"28KUFS03",,Enumeration district
"28KUFS04",,Enumeration district
"28KUFS05",,Enumeration district
"28KUFT01",,Enumeration district
"28KUFT02",,Enumeration district
"28KUFT03",,Enumeration district
"28KUFT04",,Enumeration district
"28KUFT05",,Enumeration district
"28KUFT06",,Enumeration district
"28KUFU01",,Enumeration district
"28KUFU02",,Enumeration district
"28KUFU03",,Enumeration district
"28KUFU04",,Enumeration district
"28KUFU05",,Enumeration district
"28KUFU06",,Enumeration district
"28KUFW01",,Enumeration district
"28KUFW02",,Enumeration district
"28KUFW03",,Enumeration district
"28KUFW04",,Enumeration district
"28KUFW05",,Enumeration district
"28KUFW06",,Enumeration district
"28KUFW07",,Enumeration district
"28KUSS01",,Enumeration district
"28KWFA01",,Enumeration district
"28KWFA02",,Enumeration district
"28KWFA03",,Enumeration district
"28KWFA04",,Enumeration district
"28KWFA05",,Enumeration district
"28KWFA06",,Enumeration district
"28KWFA07",,Enumeration district
"28KWFA08",,Enumeration district
"28KWFA09",,Enumeration district
"28KWFA10",,Enumeration district
"28KWFA11",,Enumeration district
"28KWFA12",,Enumeration district
"28KWFA13",,Enumeration district
"28KWFA14",,Enumeration district
"28KWFA15",,Enumeration district
"28KWFA16",,Enumeration district
"28KWFA17",,Enumeration district
"28KWFA18",,Enumeration district
"28KWFA19",,Enumeration district
"28KWFA20",,Enumeration district
"28KWFA21",,Enumeration district
"28KWFA22",,Enumeration district
"28KWFA23",,Enumeration district
"28KWFA24",,Enumeration district
"28KWFA25",,Enumeration district
"28KWFA26",,Enumeration district
"28KWFA27",,Enumeration district
"28KWFA28",,Enumeration district
"28KWFA29",,Enumeration district
"28KWFA30",,Enumeration district
"28KWFA31",,Enumeration district
"28KWFB01",,Enumeration district
"28KWFB02",,Enumeration district
"28KWFB03",,Enumeration district
"28KWFB04",,Enumeration district
"28KWFB05",,Enumeration district
"28KWFB06",,Enumeration district
"28KWFB07",,Enumeration district
"28KWFB08",,Enumeration district
"28KWFB09",,Enumeration district
"28KWFB10",,Enumeration district
"28KWFB11",,Enumeration district
"28KWFB12",,Enumeration district
"28KWFB13",,Enumeration district
"28KWFB14",,Enumeration district
"28KWFB15",,Enumeration district
"28KWFB16",,Enumeration district
"28KWFB17",,Enumeration district
"28KWFB18",,Enumeration district
"28KWFB19",,Enumeration district
"28KWFB20",,Enumeration district
"28KWFB21",,Enumeration district
"28KWFB22",,Enumeration district
"28KWFB23",,Enumeration district
"28KWFB24",,Enumeration district
"28KWFB25",,Enumeration district
"28KWFB26",,Enumeration district
"28KWFB27",,Enumeration district
"28KWFB28",,Enumeration district
"28KWFB29",,Enumeration district
"28KWFB30",,Enumeration district
"28KWFB31",,Enumeration district
"28KWFC01",,Enumeration district
"28KWFC02",,Enumeration district
"28KWFC03",,Enumeration district
"28KWFC04",,Enumeration district
"28KWFC05",,Enumeration district
"28KWFC06",,Enumeration district
"28KWFC07",,Enumeration district
"28KWFC08",,Enumeration district
"28KWFC09",,Enumeration district
"28KWFC10",,Enumeration district
"28KWFC11",,Enumeration district
"28KWFC12",,Enumeration district
"28KWFC13",,Enumeration district
"28KWFC14",,Enumeration district
"28KWFC15",,Enumeration district
"28KWFC16",,Enumeration district
"28KWFC17",,Enumeration district
"28KWFC18",,Enumeration district
"28KWFC19",,Enumeration district
"28KWFC20",,Enumeration district
"28KWFC21",,Enumeration district
"28KWFC22",,Enumeration district
"28KWFC23",,Enumeration district
"28KWFC24",,Enumeration district
"28KWFC25",,Enumeration district
"28KWFC26",,Enumeration district
"28KWFC27",,Enumeration district
"28KWFC28",,Enumeration district
"28KWFD01",,Enumeration district
"28KWFD02",,Enumeration district
"28KWFD03",,Enumeration district
"28KWFD04",,Enumeration district
"28KWFD05",,Enumeration district
"28KWFD06",,Enumeration district
"28KWFD07",,Enumeration district
"28KWFD08",,Enumeration district
"28KWFD09",,Enumeration district
"28KWFD10",,Enumeration district
"28KWFD11",,Enumeration district
"28KWFD12",,Enumeration district
"28KWFD13",,Enumeration district
"28KWFD14",,Enumeration district
"28KWFD15",,Enumeration district
"28KWFD16",,Enumeration district
"28KWFD17",,Enumeration district
"28KWFD18",,Enumeration district
"28KWFD19",,Enumeration district
"28KWFD20",,Enumeration district
"28KWFD21",,Enumeration district
"28KWFD22",,Enumeration district
"28KWFD23",,Enumeration district
"28KWFD24",,Enumeration district
"28KWFD25",,Enumeration district
"28KWFD26",,Enumeration district
"28KWFD27",,Enumeration district
"28KWFD28",,Enumeration district
"28KWFE01",,Enumeration district
"28KWFE02",,Enumeration district
"28KWFE03",,Enumeration district
"28KWFE04",,Enumeration district
"28KWFE05",,Enumeration district
"28KWFE06",,Enumeration district
"28KWFE07",,Enumeration district
"28KWFE08",,Enumeration district
"28KWFE09",,Enumeration district
"28KWFE10",,Enumeration district
"28KWFE11",,Enumeration district
"28KWFE12",,Enumeration district
"28KWFE13",,Enumeration district
"28KWFE14",,Enumeration district
"28KWFE15",,Enumeration district
"28KWFE16",,Enumeration district
"28KWFE17",,Enumeration district
"28KWFE18",,Enumeration district
"28KWFE19",,Enumeration district
"28KWFE20",,Enumeration district
"28KWFE21",,Enumeration district
"28KWFE22",,Enumeration district
"28KWFE23",,Enumeration district
"28KWFE24",,Enumeration district
"28KWFE25",,Enumeration district
"28KWFE26",,Enumeration district
"28KWFE27",,Enumeration district
"28KWFE28",,Enumeration district
"28KWFE29",,Enumeration district
"28KWFF01",,Enumeration district
"28KWFF02",,Enumeration district
"28KWFF03",,Enumeration district
"28KWFF05",,Enumeration district
"28KWFF06",,Enumeration district
"28KWFF07",,Enumeration district
"28KWFF08",,Enumeration district
"28KWFF09",,Enumeration district
"28KWFF10",,Enumeration district
"28KWFF11",,Enumeration district
"28KWFF12",,Enumeration district
"28KWFF13",,Enumeration district
"28KWFF14",,Enumeration district
"28KWFF15",,Enumeration district
"28KWFF16",,Enumeration district
"28KWFF17",,Enumeration district
"28KWFF18",,Enumeration district
"28KWFF19",,Enumeration district
"28KWFF20",,Enumeration district
"28KWFF21",,Enumeration district
"28KWFF22",,Enumeration district
"28KWFF23",,Enumeration district
"28KWFF24",,Enumeration district
"28KWFF25",,Enumeration district
"28KWFF26",,Enumeration district
"28KWFG01",,Enumeration district
"28KWFG02",,Enumeration district
"28KWFG03",,Enumeration district
"28KWFG04",,Enumeration district
"28KWFG05",,Enumeration district
"28KWFG06",,Enumeration district
"28KWFG07",,Enumeration district
"28KWFG08",,Enumeration district
"28KWFG09",,Enumeration district
"28KWFG10",,Enumeration district
"28KWFG11",,Enumeration district
"28KWFG12",,Enumeration district
"28KWFG13",,Enumeration district
"28KWFG14",,Enumeration district
"28KWFG15",,Enumeration district
"28KWFG16",,Enumeration district
"28KWFG17",,Enumeration district
"28KWFG18",,Enumeration district
"28KWFG19",,Enumeration district
"28KWFG20",,Enumeration district
"28KWFG21",,Enumeration district
"28KWFG22",,Enumeration district
"28KWFG23",,Enumeration district
"28KWFG24",,Enumeration district
"28KWFG25",,Enumeration district
"28KWFH01",,Enumeration district
"28KWFH02",,Enumeration district
"28KWFH03",,Enumeration district
"28KWFH04",,Enumeration district
"28KWFH05",,Enumeration district
"28KWFH06",,Enumeration district
"28KWFH07",,Enumeration district
"28KWFH08",,Enumeration district
"28KWFH09",,Enumeration district
"28KWFH10",,Enumeration district
"28KWFH11",,Enumeration district
"28KWFH12",,Enumeration district
"28KWFH13",,Enumeration district
"28KWFH14",,Enumeration district
"28KWFH15",,Enumeration district
"28KWFH16",,Enumeration district
"28KWFH17",,Enumeration district
"28KWFH18",,Enumeration district
"28KWFH19",,Enumeration district
"28KWFH20",,Enumeration district
"28KWFH21",,Enumeration district
"28KWFH22",,Enumeration district
"28KWFH23",,Enumeration district
"28KWFH24",,Enumeration district
"28KWFJ01",,Enumeration district
"28KWFJ02",,Enumeration district
"28KWFJ03",,Enumeration district
"28KWFJ04",,Enumeration district
"28KWFJ05",,Enumeration district
"28KWFJ06",,Enumeration district
"28KWFJ07",,Enumeration district
"28KWFJ08",,Enumeration district
"28KWFJ09",,Enumeration district
"28KWFJ10",,Enumeration district
"28KWFJ11",,Enumeration district
"28KWFJ12",,Enumeration district
"28KWFJ13",,Enumeration district
"28KWFJ14",,Enumeration district
"28KWFJ15",,Enumeration district
"28KWFJ16",,Enumeration district
"28KWFJ17",,Enumeration district
"28KWFJ18",,Enumeration district
"28KWFJ19",,Enumeration district
"28KWFJ20",,Enumeration district
"28KWFJ21",,Enumeration district
"28KWFJ22",,Enumeration district
"28KWFJ23",,Enumeration district
"28KWFJ24",,Enumeration district
"28KWFK01",,Enumeration district
"28KWFK02",,Enumeration district
"28KWFK03",,Enumeration district
"28KWFK04",,Enumeration district
"28KWFK05",,Enumeration district
"28KWFK06",,Enumeration district
"28KWFK07",,Enumeration district
"28KWFK08",,Enumeration district
"28KWFK09",,Enumeration district
"28KWFK11",,Enumeration district
"28KWFK12",,Enumeration district
"28KWFK13",,Enumeration district
"28KWFK14",,Enumeration district
"28KWFK15",,Enumeration district
"28KWFK16",,Enumeration district
"28KWFK17",,Enumeration district
"28KWFK18",,Enumeration district
"28KWFK19",,Enumeration district
"28KWFK20",,Enumeration district
"28KWFK21",,Enumeration district
"28KWFK22",,Enumeration district
"28KWFK23",,Enumeration district
"28KWFK24",,Enumeration district
"28KWFK25",,Enumeration district
"28KWFK26",,Enumeration district
"28KWFK27",,Enumeration district
"28KWFK28",,Enumeration district
"28KWFK29",,Enumeration district
"28KWFK30",,Enumeration district
"28KWFK31",,Enumeration district
"28KWFK32",,Enumeration district
"28KWFK33",,Enumeration district
"28KWFK34",,Enumeration district
"28KWFK35",,Enumeration district
"28KWFK36",,Enumeration district
"28KWFK37",,Enumeration district
"28KWFK38",,Enumeration district
"28KWFL01",,Enumeration district
"28KWFL02",,Enumeration district
"28KWFL03",,Enumeration district
"28KWFL04",,Enumeration district
"28KWFL05",,Enumeration district
"28KWFL06",,Enumeration district
"28KWFL07",,Enumeration district
"28KWFL08",,Enumeration district
"28KWFL09",,Enumeration district
"28KWFL10",,Enumeration district
"28KWFL11",,Enumeration district
"28KWFL12",,Enumeration district
"28KWFL13",,Enumeration district
"28KWFL14",,Enumeration district
"28KWFL15",,Enumeration district
"28KWFL16",,Enumeration district
"28KWFL17",,Enumeration district
"28KWFL18",,Enumeration district
"28KWFL19",,Enumeration district
"28KWFL20",,Enumeration district
"28KWFL21",,Enumeration district
"28KWFL22",,Enumeration district
"28KWFL23",,Enumeration district
"28KWFL24",,Enumeration district
"28KWFL25",,Enumeration district
"28KWFL26",,Enumeration district
"28KWFL27",,Enumeration district
"28KWFL28",,Enumeration district
"28KWFL29",,Enumeration district
"28KWFL30",,Enumeration district
"28KWFL31",,Enumeration district
"28KWFM01",,Enumeration district
"28KWFM02",,Enumeration district
"28KWFM03",,Enumeration district
"28KWFM04",,Enumeration district
"28KWFM05",,Enumeration district
"28KWFM06",,Enumeration district
"28KWFM07",,Enumeration district
"28KWFM08",,Enumeration district
"28KWFM09",,Enumeration district
"28KWFM10",,Enumeration district
"28KWFM11",,Enumeration district
"28KWFM12",,Enumeration district
"28KWFM13",,Enumeration district
"28KWFM14",,Enumeration district
"28KWFM15",,Enumeration district
"28KWFM16",,Enumeration district
"28KWFM17",,Enumeration district
"28KWFM18",,Enumeration district
"28KWFM19",,Enumeration district
"28KWFM20",,Enumeration district
"28KWFM21",,Enumeration district
"28KWFM22",,Enumeration district
"28KWFM23",,Enumeration district
"28KWFM24",,Enumeration district
"28KWFN01",,Enumeration district
"28KWFN02",,Enumeration district
"28KWFN03",,Enumeration district
"28KWFN04",,Enumeration district
"28KWFN05",,Enumeration district
"28KWFN06",,Enumeration district
"28KWFN07",,Enumeration district
"28KWFN08",,Enumeration district
"28KWFN09",,Enumeration district
"28KWFN10",,Enumeration district
"28KWFN11",,Enumeration district
"28KWFN12",,Enumeration district
"28KWFN13",,Enumeration district
"28KWFN14",,Enumeration district
"28KWFN15",,Enumeration district
"28KWFN16",,Enumeration district
"28KWFN17",,Enumeration district
"28KWFN18",,Enumeration district
"28KWFN19",,Enumeration district
"28KWFN20",,Enumeration district
"28KWFN21",,Enumeration district
"28KWFN22",,Enumeration district
