"table_name","table_column_name","description"
S02EWS,S020098,Age 50-54 // Married // Female // Persons // Residents
S02EWS,S020099,Age 55-59 // TOTAL: Persons // Persons // Residents
S02EWS,S020100,Age 55-59 // Male // Persons // Residents
S02EWS,S020101,"Age 55-59 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020102,Age 55-59 // Married // Male // Persons // Residents
S02EWS,S020103,Age 55-59 // Female // Persons // Residents
S02EWS,S020104,"Age 55-59 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020105,Age 55-59 // Married // Female // Persons // Residents
S02EWS,S020106,Age 60-64 // TOTAL: Persons // Persons // Residents
S02EWS,S020107,Age 60-64 // Male // Persons // Residents
S02EWS,S020108,"Age 60-64 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020109,Age 60-64 // Married // Male // Persons // Residents
S02EWS,S020110,Age 60-64 // Female // Persons // Residents
S02EWS,S020111,"Age 60-64 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020112,Age 60-64 // Married // Female // Persons // Residents
S02EWS,S020113,Age 65-69 // TOTAL: Persons // Persons // Residents
S02EWS,S020114,Age 65-69 // Male // Persons // Residents
S02EWS,S020115,"Age 65-69 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020116,Age 65-69 // Married // Male // Persons // Residents
S02EWS,S020117,Age 65-69 // Female // Persons // Residents
S02EWS,S020118,"Age 65-69 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020119,Age 65-69 // Married // Female // Persons // Residents
S02EWS,S020120,Age 70-74 // TOTAL: Persons // Persons // Residents
S02EWS,S020121,Age 70-74 // Male // Persons // Residents
S02EWS,S020122,"Age 70-74 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020123,Age 70-74 // Married // Male // Persons // Residents
S02EWS,S020124,Age 70-74 // Female // Persons // Residents
S02EWS,S020125,"Age 70-74 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020126,Age 70-74 // Married // Female // Persons // Residents
S02EWS,S020127,Age 75-79 // TOTAL: Persons // Persons // Residents
S02EWS,S020128,Age 75-79 // Male // Persons // Residents
S02EWS,S020129,"Age 75-79 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020130,Age 75-79 // Married // Male // Persons // Residents
S02EWS,S020131,Age 75-79 // Female // Persons // Residents
S02EWS,S020132,"Age 75-79 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020133,Age 75-79 // Married // Female // Persons // Residents
S02EWS,S020134,Age 80-84 // TOTAL: Persons // Persons // Residents
S02EWS,S020135,Age 80-84 // Male // Persons // Residents
S02EWS,S020136,"Age 80-84 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020137,Age 80-84 // Married // Male // Persons // Residents
S02EWS,S020138,Age 80-84 // Female // Persons // Residents
S02EWS,S020139,"Age 80-84 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020140,Age 80-84 // Married // Female // Persons // Residents
S02EWS,S020141,Age 85-89 // TOTAL: Persons // Persons // Residents
S02EWS,S020142,Age 85-89 // Male // Persons // Residents
S02EWS,S020143,"Age 85-89 // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020144,Age 85-89 // Married // Male // Persons // Residents
S02EWS,S020145,Age 85-89 // Female // Persons // Residents
S02EWS,S020146,"Age 85-89 // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020147,Age 85-89 // Married // Female // Persons // Residents
S02EWS,S020148,Age 90 and over // TOTAL: Persons // Persons // Residents
S02EWS,S020149,Age 90 and over // Male // Persons // Residents
S02EWS,S020150,"Age 90 and over // Single, widowed, or divorced // Male // Persons // Residents"
S02EWS,S020151,Age 90 and over // Married // Male // Persons // Residents
S02EWS,S020152,Age 90 and over // Female // Persons // Residents
S02EWS,S020153,"Age 90 and over // Single, widowed, or divorced // Female // Persons // Residents"
S02EWS,S020154,Age 90 and over // Married // Female // Persons // Residents
S03EWS,S030001,All Establishments // TOTAL: establishments (counts unmodified) // Establishments // Establishments; persons present not in households
S03EWS,S030002,All Establishments // TOTAL: Persons // Persons // Establishments; persons present not in households
S03EWS,S030003,All Establishments // Male // Persons // Establishments; persons present not in households
S03EWS,S030004,All Establishments // Female // Persons // Establishments; persons present not in households
S03EWS,S030005,All Establishments // Not resident // Male // Persons // Establishments; persons present not in households
S03EWS,S030006,All Establishments // Not resident // Female // Persons // Establishments; persons present not in households
S03EWS,S030007,All Establishments // Staff // Male // Persons // Establishments; persons present not in households
S03EWS,S030008,All Establishments // Staff // Female // Persons // Establishments; persons present not in households
S03EWS,S030009,All Establishments // Other residents // Male // Persons // Establishments; persons present not in households
S03EWS,S030010,All Establishments // Other residents // Female // Persons // Establishments; persons present not in households
S03EWS,S030011,Medical and Care Establishments // TOTAL: establishments (counts unmodified) // Establishments // Establishments; persons present not in households
S03EWS,S030012,Medical and Care Establishments // TOTAL: Persons // Persons // Establishments; persons present not in households
S03EWS,S030013,Medical and Care Establishments // Male // Persons // Establishments; persons present not in households
S03EWS,S030014,Medical and Care Establishments // Female // Persons // Establishments; persons present not in households
S03EWS,S030015,Medical and Care Establishments // Not resident // Male // Persons // Establishments; persons present not in households
S03EWS,S030016,Medical and Care Establishments // Not resident // Female // Persons // Establishments; persons present not in households
S03EWS,S030017,Medical and Care Establishments // Staff // Male // Persons // Establishments; persons present not in households
S03EWS,S030018,Medical and Care Establishments // Staff // Female // Persons // Establishments; persons present not in households
S03EWS,S030019,Medical and Care Establishments // Other residents // Male // Persons // Establishments; persons present not in households
S03EWS,S030020,Medical and Care Establishments // Other residents // Female // Persons // Establishments; persons present not in households
S03EWS,S030021,Psychiatric // TOTAL: establishments (counts unmodified) // Establishments // Establishments; persons present not in households
S03EWS,S030022,Psychiatric // TOTAL: Persons // Persons // Establishments; persons present not in households
S03EWS,S030023,Psychiatric // Male // Persons // Establishments; persons present not in households
S03EWS,S030024,Psychiatric // Female // Persons // Establishments; persons present not in households
S03EWS,S030025,Psychiatric // Not resident // Male // Persons // Establishments; persons present not in households
S03EWS,S030026,Psychiatric // Not resident // Female // Persons // Establishments; persons present not in households
S03EWS,S030027,Psychiatric // Staff // Male // Persons // Establishments; persons present not in households
S03EWS,S030028,Psychiatric // Staff // Female // Persons // Establishments; persons present not in households
S03EWS,S030029,Psychiatric // Other residents // Male // Persons // Establishments; persons present not in households
S03EWS,S030030,Psychiatric // Other residents // Female // Persons // Establishments; persons present not in households
S03EWS,S030031,Other // TOTAL: establishments (counts unmodified) // Establishments // Establishments; persons present not in households
S03EWS,S030032,Other // TOTAL: Persons // Persons // Establishments; persons present not in households
S03EWS,S030033,Other // Male // Persons // Establishments; persons present not in households
S03EWS,S030034,Other // Female // Persons // Establishments; persons present not in households
S03EWS,S030035,Other // Not resident // Male // Persons // Establishments; persons present not in households
S03EWS,S030036,Other // Not resident // Female // Persons // Establishments; persons present not in households
S03EWS,S030037,Other // Staff // Male // Persons // Establishments; persons present not in households
S03EWS,S030038,Other // Staff // Female // Persons // Establishments; persons present not in households
S03EWS,S030039,Other // Other residents // Male // Persons // Establishments; persons present not in households
S03EWS,S030040,Other // Other residents // Female // Persons // Establishments; persons present not in households
S03EWS,S030041,Psychiatric // TOTAL: establishments (counts unmodified) // Establishments // Establishments; persons present not in households
S03EWS,S030042,Psychiatric // TOTAL: Persons // Persons // Establishments; persons present not in households
S03EWS,S030043,Psychiatric // Male // Persons // Establishments; persons present not in households
S03EWS,S030044,Psychiatric // Female // Persons // Establishments; persons present not in households
S03EWS,S030045,Psychiatric // Not resident // Male // Persons // Establishments; persons present not in households
S03EWS,S030046,Psychiatric // Not resident // Female // Persons // Establishments; persons present not in households
S03EWS,S030047,Psychiatric // Staff // Male // Persons // Establishments; persons present not in households
S03EWS,S030048,Psychiatric // Staff // Female // Persons // Establishments; persons present not in households
S03EWS,S030049,Psychiatric // Other residents // Male // Persons // Establishments; persons present not in households
S03EWS,S030050,Psychiatric // Other residents // Female // Persons // Establishments; persons present not in households
S03EWS,S030051,Other // TOTAL: establishments (counts unmodified) // Establishments // Establishments; persons present not in households
S03EWS,S030052,Other // TOTAL: Persons // Persons // Establishments; persons present not in households
S03EWS,S030053,Other // Male // Persons // Establishments; persons present not in households
S03EWS,S030054,Other // Female // Persons // Establishments; persons present not in households
S03EWS,S030055,Other // Not resident // Male // Persons // Establishments; persons present not in households
S03EWS,S030056,Other // Not resident // Female // Persons // Establishments; persons present not in households
S03EWS,S030057,Other // Staff // Male // Persons // Establishments; persons present not in households
S03EWS,S030058,Other // Staff // Female // Persons // Establishments; persons present not in households
S03EWS,S030059,Other // Other residents // Male // Persons // Establishments; persons present not in households
S03EWS,S030060,Other // Other residents // Female // Persons // Establishments; persons present not in households
S03EWS,S030061,Local Authority Homes // TOTAL: establishments (counts unmodified) // Establishments // Establishments; persons present not in households
S03EWS,S030062,Local Authority Homes // TOTAL: Persons // Persons // Establishments; persons present not in households
S03EWS,S030063,Local Authority Homes // Male // Persons // Establishments; persons present not in households
S03EWS,S030064,Local Authority Homes // Female // Persons // Establishments; persons present not in households
S03EWS,S030065,Local Authority Homes // Not resident // Male // Persons // Establishments; persons present not in households
S03EWS,S030066,Local Authority Homes // Not resident // Female // Persons // Establishments; persons present not in households
S03EWS,S030067,Local Authority Homes // Staff // Male // Persons // Establishments; persons present not in households
S03EWS,S030068,Local Authority Homes // Staff // Female // Persons // Establishments; persons present not in households
S03EWS,S030069,Local Authority Homes // Other residents // Male // Persons // Establishments; persons present not in households
S03EWS,S030070,Local Authority Homes // Other residents // Female // Persons // Establishments; persons present not in households
S03EWS,S030071,Housing Association Homes and Hostels // TOTAL: establishments (counts unmodified) // Establishments // Establishments; persons present not in households
S03EWS,S030072,Housing Association Homes and Hostels // TOTAL: Persons // Persons // Establishments; persons present not in households
S03EWS,S030073,Housing Association Homes and Hostels // Male // Persons // Establishments; persons present not in households
