"table_file_name","table_column_name","description"
af001_ons,AF0010058,Age 25 to 29// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010059,Age 25 to 29// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010060,Age 25 to 29// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010061,Age 30 to 34// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010062,Age 30 to 34// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010063,Age 30 to 34// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010064,Age 30 to 34// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010065,Age 30 to 34// Employed in Armed Forces// All with different address 1 year ago// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010066,Age 30 to 34// Employed in Armed Forces// All with different address 1 year ago// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010067,Age 30 to 34// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010068,Age 30 to 34// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010069,Age 30 to 34// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010070,Age 30 to 34// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010071,Age 30 to 34// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010072,Age 30 to 34// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010073,Age 35 to 39// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010074,Age 35 to 39// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010075,Age 35 to 39// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010076,Age 35 to 39// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010077,Age 35 to 39// Employed in Armed Forces// All with different address 1 year ago// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010078,Age 35 to 39// Employed in Armed Forces// All with different address 1 year ago// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010079,Age 35 to 39// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010080,Age 35 to 39// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010081,Age 35 to 39// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010082,Age 35 to 39// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010083,Age 35 to 39// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010084,Age 35 to 39// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010085,Age 40 to 44// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010086,Age 40 to 44// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010087,Age 40 to 44// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010088,Age 40 to 44// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010089,Age 40 to 44// Employed in Armed Forces// All with different address 1 year ago// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010090,Age 40 to 44// Employed in Armed Forces// All with different address 1 year ago// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010091,Age 40 to 44// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010092,Age 40 to 44// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010093,Age 40 to 44// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010094,Age 40 to 44// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010095,Age 40 to 44// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010096,Age 40 to 44// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010097,Age 45 to 49// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010098,Age 45 to 49// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010099,Age 45 to 49// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010100,Age 45 to 49// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010101,Age 45 to 49// Employed in Armed Forces// All with different address 1 year ago// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010102,Age 45 to 49// Employed in Armed Forces// All with different address 1 year ago// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010103,Age 45 to 49// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010104,Age 45 to 49// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010105,Age 45 to 49// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010106,Age 45 to 49// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010107,Age 45 to 49// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010108,Age 45 to 49// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010109,Age 50 to 54// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010110,Age 50 to 54// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010111,Age 50 to 54// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010112,Age 50 to 54// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010113,Age 50 to 54// Employed in Armed Forces// All with different address 1 year ago// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010114,Age 50 to 54// Employed in Armed Forces// All with different address 1 year ago// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010115,Age 50 to 54// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010116,Age 50 to 54// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010117,Age 50 to 54// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010118,Age 50 to 54// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010119,Age 50 to 54// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010120,Age 50 to 54// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010121,Age 55 and over// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010122,Age 55 and over// Employed in Armed Forces// All people employed in Armed Forces// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010123,Age 55 and over// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010124,Age 55 and over// Employed in Armed Forces// All people employed in Armed Forces// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010125,Age 55 and over// Employed in Armed Forces// All with different address 1 year ago// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010126,Age 55 and over// Employed in Armed Forces// All with different address 1 year ago// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010127,Age 55 and over// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010128,Age 55 and over// Employed in Armed Forces// All with different address 1 year ago// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
