zoneid,ward_code,year,TOTAL_RES_1981,TOTAL_MALE_1981,TOTAL_FEMALE_1981,FAR_EAST_BORN_1981,FAR_EAST_BORN_MALE_1981,FAR_EAST_BORN_FEMALE_1981,PCT_FAR_EAST_BORN_1981,TOTAL_HH_1981,OWNER_OCC_HH_1981,COUNCIL_HH_1981,NO_CAR_HH_1981,OVERCROWD_GT1P5_1981,OVERCROWD_1TO1P5_1981,NO_BATH_WC_1981,NO_INSIDE_BATH_WC_1981,PCT_OWNER_OCC_1981,PCT_COUNCIL_1981,PCT_NO_CAR_1981,PCT_OVERCROWD_GT1P5_1981,PCT_OVERCROWD_1TO1P5_1981,PCT_NO_BATH_WC_1981,PCT_NO_INSIDE_BATH_WC_1981,EMPLOYED_1981,UNEMPLOYED_1981,ECON_ACTIVE_1981
03BNBJ13,03BNBJ,1981,,,,3,1,2,0.0,167,45,0,92,2,4,0,0,26.94610778443114,0.0,55.08982035928144,1.1976047904191616,2.395209580838323,0.0,0.0,,,
03BNBJ14,03BNBJ,1981,,,,4,4,0,0.0,197,172,0,65,1,2,1,0,87.30964467005076,0.0,32.994923857868024,0.5076142131979695,1.015228426395939,0.5076142131979695,0.0,,,
03BNBJ15,03BNBJ,1981,,,,6,2,4,0.0,215,185,0,73,0,6,0,0,86.04651162790698,0.0,33.95348837209303,0.0,2.7906976744186047,0.0,0.0,,,
03BNBJ16,03BNBJ,1981,,,,5,2,3,0.0,216,208,0,82,2,7,0,0,96.29629629629629,0.0,37.96296296296296,0.9259259259259259,3.240740740740741,0.0,0.0,,,
03BNBJ17,03BNBJ,1981,,,,3,1,2,0.0,216,198,0,68,1,7,2,0,91.66666666666667,0.0,31.48148148148148,0.46296296296296297,3.240740740740741,0.9259259259259259,0.0,,,
03BNBJ18,03BNBJ,1981,,,,0,0,0,0.0,163,3,0,113,2,12,0,0,1.8404907975460123,0.0,69.32515337423312,1.2269938650306749,7.361963190184049,0.0,0.0,,,
03BNBJ19,03BNBJ,1981,,,,2,1,1,0.0,171,89,0,72,4,5,2,1,52.046783625730995,0.0,42.10526315789474,2.3391812865497075,2.9239766081871346,1.1695906432748537,0.5847953216374269,,,
03BNBJ20,03BNBJ,1981,,,,8,4,4,0.0,180,85,0,85,2,5,4,3,47.22222222222222,0.0,47.22222222222222,1.1111111111111112,2.7777777777777777,2.2222222222222223,1.6666666666666667,,,
03BNBJ21,03BNBJ,1981,,,,0,0,0,0.0,161,14,0,95,0,12,0,0,8.695652173913043,0.0,59.006211180124225,0.0,7.453416149068323,0.0,0.0,,,
03BNBJ22,03BNBJ,1981,,,,1,1,0,0.0,204,11,0,134,2,12,0,0,5.392156862745098,0.0,65.68627450980392,0.9803921568627451,5.882352941176471,0.0,0.0,,,
03BNBJ23,03BNBJ,1981,,,,1,1,0,0.0,173,2,0,125,3,10,0,0,1.1560693641618498,0.0,72.25433526011561,1.7341040462427746,5.780346820809249,0.0,0.0,,,
03BNBJ24,03BNBJ,1981,,,,7,3,4,0.0,176,84,0,65,3,6,0,0,47.72727272727273,0.0,36.93181818181818,1.7045454545454546,3.409090909090909,0.0,0.0,,,
03BNBJ25,03BNBJ,1981,,,,0,0,0,0.0,204,152,0,71,5,1,0,0,74.50980392156863,0.0,34.80392156862745,2.450980392156863,0.49019607843137253,0.0,0.0,,,
03BNBJ26,03BNBJ,1981,,,,4,0,4,0.0,194,104,0,74,6,3,0,0,53.608247422680414,0.0,38.144329896907216,3.0927835051546393,1.5463917525773196,0.0,0.0,,,
03BNBJ27,03BNBJ,1981,,,,0,0,0,0.0,183,148,0,48,1,1,0,0,80.8743169398907,0.0,26.229508196721312,0.546448087431694,0.546448087431694,0.0,0.0,,,
03BNBJ28,03BNBJ,1981,,,,0,0,0,0.0,197,111,0,102,0,0,0,0,56.34517766497462,0.0,51.776649746192895,0.0,0.0,0.0,0.0,,,
03BNBJ29,03BNBJ,1981,,,,1,0,1,0.0,171,128,0,55,0,0,0,0,74.85380116959064,0.0,32.16374269005848,0.0,0.0,0.0,0.0,,,
03BNBJ30,03BNBJ,1981,,,,0,0,0,0.0,162,34,0,94,0,13,0,0,20.987654320987655,0.0,58.02469135802469,0.0,8.024691358024691,0.0,0.0,,,
03BNBJ31,03BNBJ,1981,,,,0,0,0,0.0,161,3,0,113,5,15,0,0,1.8633540372670807,0.0,70.1863354037267,3.1055900621118013,9.316770186335404,0.0,0.0,,,
03BNBJ32,03BNBJ,1981,,,,0,0,0,0.0,159,7,0,116,3,4,0,0,4.40251572327044,0.0,72.95597484276729,1.8867924528301887,2.5157232704402515,0.0,0.0,,,
03BNBJ33,03BNBJ,1981,,,,0,0,0,0.0,217,6,0,145,1,10,0,0,2.7649769585253456,0.0,66.82027649769586,0.4608294930875576,4.608294930875576,0.0,0.0,,,
03BNBJ34,03BNBJ,1981,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,
03BNBK01,03BNBK,1981,,,,0,0,0,0.0,214,9,0,105,2,16,0,0,4.205607476635514,0.0,49.06542056074766,0.9345794392523364,7.4766355140186915,0.0,0.0,,,
03BNBK02,03BNBK,1981,,,,0,0,0,0.0,162,0,0,105,0,6,0,0,0.0,0.0,64.81481481481481,0.0,3.7037037037037037,0.0,0.0,,,
03BNBK03,03BNBK,1981,,,,2,2,0,0.0,195,7,1,112,3,8,1,0,3.58974358974359,0.5128205128205128,57.43589743589744,1.5384615384615385,4.102564102564102,0.5128205128205128,0.0,,,
03BNBK04,03BNBK,1981,,,,0,0,0,0.0,172,2,0,97,2,6,0,0,1.1627906976744187,0.0,56.395348837209305,1.1627906976744187,3.488372093023256,0.0,0.0,,,
03BNBK05,03BNBK,1981,,,,0,0,0,0.0,194,9,0,99,0,6,0,0,4.639175257731959,0.0,51.03092783505155,0.0,3.0927835051546393,0.0,0.0,,,
03BNBK06,03BNBK,1981,,,,0,0,0,0.0,189,5,0,114,2,16,0,0,2.6455026455026456,0.0,60.317460317460316,1.0582010582010581,8.465608465608465,0.0,0.0,,,
03BNBK07,03BNBK,1981,,,,3,0,3,0.0,142,5,0,86,0,8,0,0,3.5211267605633805,0.0,60.563380281690144,0.0,5.633802816901408,0.0,0.0,,,
03BNBK08,03BNBK,1981,,,,1,0,1,0.0,170,4,0,105,2,11,1,0,2.3529411764705883,0.0,61.76470588235294,1.1764705882352942,6.470588235294118,0.5882352941176471,0.0,,,
03BNBK09,03BNBK,1981,,,,4,1,3,0.0,175,6,0,93,3,5,0,0,3.4285714285714284,0.0,53.142857142857146,1.7142857142857142,2.857142857142857,0.0,0.0,,,
03BNBK10,03BNBK,1981,,,,0,0,0,0.0,181,8,0,98,0,10,0,0,4.419889502762431,0.0,54.14364640883978,0.0,5.524861878453039,0.0,0.0,,,
03BNBK11,03BNBK,1981,,,,0,0,0,0.0,163,3,0,100,0,11,0,0,1.8404907975460123,0.0,61.34969325153374,0.0,6.748466257668712,0.0,0.0,,,
03BNBK12,03BNBK,1981,,,,0,0,0,0.0,155,6,1,87,0,5,1,0,3.870967741935484,0.6451612903225806,56.12903225806452,0.0,3.225806451612903,0.6451612903225806,0.0,,,
03BNBK13,03BNBK,1981,,,,0,0,0,0.0,160,5,0,107,0,8,0,0,3.125,0.0,66.875,0.0,5.0,0.0,0.0,,,
03BNBK14,03BNBK,1981,,,,0,0,0,0.0,100,0,0,76,5,14,0,0,0.0,0.0,76.0,5.0,14.0,0.0,0.0,,,
03BNBK15,03BNBK,1981,,,,2,0,2,0.0,156,4,0,136,1,1,0,0,2.5641025641025643,0.0,87.17948717948718,0.6410256410256411,0.6410256410256411,0.0,0.0,,,
03BNBK16,03BNBK,1981,,,,2,2,0,0.0,194,8,2,116,0,6,2,0,4.123711340206185,1.0309278350515463,59.79381443298969,0.0,3.0927835051546393,1.0309278350515463,0.0,,,
03BNBK17,03BNBK,1981,,,,0,0,0,0.0,191,12,0,116,0,5,0,0,6.282722513089006,0.0,60.73298429319372,0.0,2.6178010471204187,0.0,0.0,,,
03BNBK18,03BNBK,1981,,,,0,0,0,0.0,175,6,0,93,0,10,0,0,3.4285714285714284,0.0,53.142857142857146,0.0,5.714285714285714,0.0,0.0,,,
03BNBK19,03BNBK,1981,,,,0,0,0,0.0,188,8,0,98,1,5,0,0,4.25531914893617,0.0,52.12765957446808,0.5319148936170213,2.6595744680851063,0.0,0.0,,,
03BNBK20,03BNBK,1981,,,,0,0,0,0.0,173,2,0,110,0,11,0,0,1.1560693641618498,0.0,63.58381502890173,0.0,6.358381502890174,0.0,0.0,,,
03BNBK21,03BNBK,1981,,,,0,0,0,0.0,180,10,0,121,1,6,0,0,5.555555555555555,0.0,67.22222222222223,0.5555555555555556,3.3333333333333335,0.0,0.0,,,
03BNBK22,03BNBK,1981,,,,1,0,1,0.0,159,16,1,88,1,6,4,5,10.062893081761006,0.6289308176100629,55.34591194968554,0.6289308176100629,3.7735849056603774,2.5157232704402515,3.1446540880503147,,,
03BNBK23,03BNBK,1981,,,,0,0,0,0.0,163,2,0,76,1,1,0,0,1.2269938650306749,0.0,46.625766871165645,0.6134969325153374,0.6134969325153374,0.0,0.0,,,
03BNBK24,03BNBK,1981,,,,0,0,0,0.0,179,1,0,126,2,9,0,0,0.5586592178770949,0.0,70.39106145251397,1.1173184357541899,5.027932960893855,0.0,0.0,,,
03BNBK25,03BNBK,1981,,,,0,0,0,0.0,172,2,0,97,2,7,0,0,1.1627906976744187,0.0,56.395348837209305,1.1627906976744187,4.069767441860465,0.0,0.0,,,
03BNBK26,03BNBK,1981,,,,0,0,0,0.0,146,3,0,95,0,4,0,0,2.0547945205479454,0.0,65.06849315068493,0.0,2.73972602739726,0.0,0.0,,,
03BNBK27,03BNBK,1981,,,,0,0,0,0.0,133,112,0,50,0,2,1,0,84.21052631578948,0.0,37.59398496240601,0.0,1.5037593984962405,0.7518796992481203,0.0,,,
03BNBK28,03BNBK,1981,,,,0,0,0,0.0,52,0,0,29,0,1,0,0,0.0,0.0,55.76923076923077,0.0,1.9230769230769231,0.0,0.0,,,
03BNBK29,03BNBK,1981,,,,0,0,0,0.0,43,26,1,19,0,0,0,2,60.46511627906977,2.3255813953488373,44.18604651162791,0.0,0.0,0.0,4.651162790697675,,,
03BNBK30,03BNBK,1981,,,,0,0,0,0.0,49,33,0,8,0,2,3,4,67.34693877551021,0.0,16.3265306122449,0.0,4.081632653061225,6.122448979591836,8.16326530612245,,,
03BNBK31,03BNBK,1981,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,
03BNSS01,03BNSS,1981,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,
